category,brand,condition,seller_reputation,suspected_fraud,log_price
0,18,0,3,0,4.795790545596741
0,0,0,5,0,4.795790545596741
1,12,0,1,1,7.0909098220799835
2,2,1,1,1,7.208600337960199
0,0,1,3,0,4.795790545596741
1,1,0,1,1,7.170880792087884
2,32,1,4,0,7.496097345175956
2,3,1,4,0,7.1316985104669115
0,18,0,5,0,4.795790545596741
0,0,0,4,0,4.795790545596741
2,32,0,1,0,7.467942332285852
1,1,0,4,0,7.0909098220799835
2,28,0,1,1,7.0909098220799835
0,0,0,2,1,4.394449154672439
0,0,0,2,0,4.394449154672439
1,1,1,4,0,7.24493440855279
2,8,1,3,0,5.860786223465865
1,1,0,5,0,7.170880792087884
0,0,1,4,0,4.454347296253507
2,32,0,1,0,7.280008252884188
2,32,1,2,0,7.467942332285852
2,2,0,4,0,6.85751406254539
0,0,1,4,0,4.795790545596741
0,0,1,3,1,4.454347296253507
1,1,0,4,0,7.170880792087884
0,0,1,4,1,4.795790545596741
1,1,0,5,1,7.170880792087884
1,12,0,5,0,7.0909098220799835
0,0,0,3,1,4.795790545596741
2,10,0,4,1,7.280008252884188
0,0,1,1,0,4.795790545596741
1,12,1,3,0,7.0909098220799835
2,2,0,2,0,7.467942332285852
2,2,1,1,1,7.1316985104669115
0,0,0,3,0,4.330733340286331
2,7,0,1,0,7.313886831633462
2,8,0,1,0,5.860786223465865
1,1,1,3,0,7.1316985104669115
2,7,1,4,0,7.0909098220799835
0,0,1,1,1,4.330733340286331
0,0,0,1,0,4.330733340286331
2,28,0,5,0,7.0909098220799835
0,0,0,3,0,4.454347296253507
1,1,0,1,0,7.090901495650648
0,18,0,3,0,4.795790545596741
0,0,0,5,0,4.51085950651685
0,0,1,1,0,4.795790545596741
2,10,0,5,0,7.280008252884188
2,32,0,1,0,7.280008252884188
0,18,1,2,1,4.795790545596741
1,12,1,3,0,7.280008252884188
0,0,1,1,0,4.454347296253507
2,28,0,3,1,8.071218539969863
0,0,1,4,0,4.795790545596741
2,32,0,4,0,7.496097345175956
1,1,1,4,0,7.003965054029298
0,0,1,2,0,4.795790545596741
0,18,1,1,1,4.795790545596741
2,2,1,2,1,7.1316985104669115
1,12,1,3,0,7.0909098220799835
0,0,0,2,0,4.795790545596741
2,7,0,3,1,7.496097345175956
0,0,0,2,0,4.330733340286331
2,2,1,3,0,7.0909098220799835
2,32,1,3,1,7.496097345175956
2,2,1,3,0,7.0909098220799835
2,14,1,5,1,8.071218539969863
0,0,0,4,0,4.795790545596741
2,32,1,3,0,7.280008252884188
0,0,1,2,1,4.795790545596741
0,0,1,4,0,4.330733340286331
2,8,1,1,0,6.111467339502679
2,9,1,3,0,5.860786223465865
0,0,0,3,0,4.795790545596741
0,0,1,2,1,4.795790545596741
2,26,0,2,0,8.160803920954665
1,24,1,1,0,7.0909098220799835
0,0,0,1,1,4.394449154672439
0,18,0,4,0,4.795790545596741
0,0,1,3,0,4.795790545596741
0,0,1,4,0,4.795790545596741
1,1,0,3,0,7.170880792087884
0,0,0,1,1,4.795790545596741
2,23,0,4,0,7.280008252884188
2,2,1,4,1,6.7464121285733745
1,12,1,2,0,7.170880792087884
0,0,0,3,0,4.394449154672439
2,28,1,1,0,7.280008252884188
0,0,0,3,0,4.454347296253507
2,32,0,1,0,7.1316985104669115
2,8,0,3,0,5.860786223465865
1,1,1,1,0,7.170880792087884
1,1,0,5,1,7.0909098220799835
2,32,0,1,0,7.0909098220799835
0,0,0,3,0,4.795790545596741
1,12,1,5,0,7.280008252884188
0,0,0,3,0,4.330733340286331
2,2,1,5,0,6.7464121285733745
1,1,1,4,0,7.170880792087884
2,32,1,5,0,7.0909098220799835
2,32,0,5,0,8.071218539969863
2,32,1,2,0,7.467942332285852
2,8,0,3,1,6.621405651764134
2,26,0,5,0,6.85751406254539
0,0,0,4,0,4.330733340286331
0,0,1,5,0,4.330733340286331
0,0,1,4,1,4.394449154672439
2,32,0,4,0,6.621405651764134
2,32,0,4,0,7.0909098220799835
0,0,0,5,0,4.454347296253507
2,3,1,5,0,6.621405651764134
1,1,0,3,0,7.170880792087884
2,32,1,2,0,8.086717920303906
1,1,0,4,1,7.170880792087884
2,26,0,3,0,8.160803920954665
1,1,0,4,1,7.170880792087884
2,8,1,3,1,6.111467339502679
2,32,1,1,0,7.280008252884188
0,0,1,3,0,4.795790545596741
2,32,1,3,0,7.208600337960199
0,18,0,4,1,4.795790545596741
0,0,0,1,0,4.394449154672439
2,32,1,5,0,7.467942332285852
0,0,1,4,0,4.454347296253507
1,1,1,1,1,7.170880792087884
2,2,0,4,0,6.7464121285733745
0,0,1,4,0,4.795790545596741
0,0,1,2,0,4.454347296253507
0,0,1,4,0,4.795790545596741
2,2,1,2,0,6.775366090936392
2,32,1,5,1,7.1316985104669115
2,7,1,3,1,8.071218539969863
0,0,0,2,0,4.795790545596741
2,32,0,2,0,7.523481312573497
2,32,1,4,0,8.160803920954665
2,32,1,5,0,7.00397413672268
0,0,1,3,1,4.330733340286331
0,4,0,2,0,4.795790545596741
0,0,0,1,0,4.795790545596741
0,18,0,2,0,4.795790545596741
1,1,0,1,0,7.170880792087884
1,1,0,2,0,7.170880792087884
0,0,1,1,1,4.51085950651685
0,0,0,3,0,4.51085950651685
1,12,0,5,0,7.0909098220799835
2,32,1,4,0,7.467942332285852
0,0,1,2,0,4.795790545596741
1,1,0,3,1,7.170880792087884
1,12,0,1,0,7.208600337960199
2,32,1,5,1,7.0909098220799835
2,2,0,2,1,7.280008252884188
0,0,1,3,0,4.454347296253507
2,32,0,3,0,7.0909098220799835
1,1,1,2,1,7.170880792087884
2,32,1,4,0,7.313886831633462
2,32,0,5,1,7.1316985104669115
2,2,0,1,1,7.280008252884188
2,32,1,1,0,7.170888478512505
1,1,0,4,0,7.170119543449628
0,21,0,5,0,4.795790545596741
1,1,0,4,0,7.170880792087884
2,32,0,5,0,6.621405651764134
0,18,0,5,0,4.795790545596741
1,1,0,2,1,7.170880792087884
2,2,1,2,0,7.170888478512505
0,18,1,3,0,4.795790545596741
1,12,1,1,0,7.496097345175956
1,12,0,2,0,7.0909098220799835
2,2,1,2,0,7.280008252884188
0,0,0,3,0,4.795790545596741
0,0,1,4,0,4.795790545596741
2,32,1,2,0,6.621405651764134
0,18,0,2,0,4.795790545596741
0,0,0,3,1,4.454347296253507
0,0,0,1,0,4.795790545596741
0,0,1,4,0,4.330733340286331
2,28,0,2,1,7.0909098220799835
1,19,0,2,0,7.0909098220799835
2,32,1,5,0,7.467942332285852
1,1,0,5,0,7.170880792087884
0,18,1,4,0,4.795790545596741
0,0,1,1,0,4.795790545596741
0,0,0,4,0,4.454347296253507
0,0,0,1,0,4.795790545596741
1,12,0,3,1,7.313886831633462
2,28,0,2,0,8.071218539969863
2,32,0,5,0,6.85751406254539
0,0,0,3,0,4.454347296253507
2,32,0,4,0,7.496097345175956
1,1,0,2,0,7.170880792087884
1,12,0,5,0,7.170880792087884
0,0,1,5,1,4.795790545596741
2,8,0,3,0,6.111467339502679
1,12,1,3,0,7.0909098220799835
2,32,0,1,0,8.071218539969863
0,0,0,4,0,4.795790545596741
2,32,0,3,0,7.280008252884188
0,0,1,4,0,4.795790545596741
2,28,0,2,0,7.208600337960199
0,0,1,3,0,4.795790545596741
2,32,0,2,0,7.313886831633462
2,28,1,4,1,8.071218539969863
0,18,0,1,1,4.795790545596741
2,28,1,3,0,7.0909098220799835
0,0,0,1,0,4.795790545596741
0,0,1,2,0,4.795790545596741
2,28,0,2,0,7.0909098220799835
2,8,0,2,0,5.860786223465865
0,18,0,4,0,4.330733340286331
0,18,0,4,1,4.795790545596741
2,28,1,4,0,8.071218539969863
2,8,0,3,0,5.860786223465865
2,32,0,1,0,7.280008252884188
0,0,0,1,0,4.454347296253507
0,0,1,3,0,4.330733340286331
0,0,1,3,0,4.795790545596741
1,1,0,2,1,7.170119543449628
0,0,0,3,1,4.795790545596741
2,28,0,3,0,7.280008252884188
2,32,1,1,1,7.1316985104669115
0,0,1,4,0,4.795790545596741
1,1,0,2,0,7.170880792087884
2,2,0,2,0,6.621405651764134
1,12,0,2,0,7.24493440855279
2,8,1,2,0,5.860786223465865
1,1,1,5,0,7.170880792087884
2,32,1,1,0,7.467942332285852
2,32,1,5,0,7.280008252884188
0,0,0,1,0,4.795790545596741
0,0,0,3,0,4.795790545596741
2,32,0,2,0,7.0909098220799835
0,0,0,5,0,4.330733340286331
0,0,0,2,0,4.795790545596741
2,8,0,1,0,5.860786223465865
0,18,0,5,1,4.795790545596741
1,1,0,4,1,7.170880792087884
0,0,0,2,0,4.51085950651685
1,12,1,1,0,7.0909098220799835
0,0,1,3,0,4.795790545596741
0,0,1,2,0,4.394449154672439
2,2,1,1,1,7.1316985104669115
2,28,0,3,0,8.071218539969863
0,18,1,4,0,4.795790545596741
2,32,1,4,1,6.7464121285733745
0,0,0,4,1,4.795790545596741
0,18,0,2,1,4.795790545596741
0,0,1,4,0,4.330733340286331
0,0,1,5,0,4.330733340286331
1,12,0,2,0,7.280008252884188
1,12,1,2,0,7.170888478512505
2,32,0,4,0,7.496097345175956
2,8,0,3,1,5.771441123130016
1,19,0,5,0,7.0909098220799835
1,12,1,2,0,7.0909098220799835
0,0,1,3,1,4.330733340286331
2,32,0,2,0,7.280008252884188
2,28,0,3,0,8.071218539969863
2,32,0,4,0,8.071218539969863
1,1,1,3,1,7.170880792087884
0,0,0,2,1,4.795790545596741
2,32,1,2,1,7.0909098220799835
0,0,0,5,0,4.795790545596741
2,8,1,1,0,5.860786223465865
0,0,0,5,1,4.51085950651685
1,12,0,3,0,7.170888478512505
0,18,0,2,0,4.795790545596741
0,0,0,2,0,4.795790545596741
2,28,0,3,0,7.1316985104669115
2,10,0,5,0,7.280008252884188
2,32,1,3,1,6.7464121285733745
2,32,0,3,0,7.280008252884188
2,32,0,1,0,7.0909098220799835
2,26,1,1,0,8.071218539969863
1,1,0,3,1,7.24493440855279
1,12,0,1,0,7.313886831633462
0,0,0,3,0,4.51085950651685
2,32,0,3,0,8.071218539969863
1,12,0,5,0,7.0909098220799835
2,10,0,4,0,7.0909098220799835
1,1,1,3,0,7.170880792087884
0,0,1,5,0,4.795790545596741
2,32,0,4,0,7.280008252884188
1,1,0,5,1,7.170880792087884
2,32,1,1,0,7.313886831633462
0,0,0,5,1,4.795790545596741
2,11,0,1,1,7.1316985104669115
0,18,0,4,0,4.795790545596741
0,0,0,5,1,4.795790545596741
0,18,0,2,0,4.795790545596741
2,8,1,4,0,5.860786223465865
0,0,0,2,1,4.330733340286331
0,0,1,4,1,4.330733340286331
0,18,0,2,1,4.795790545596741
1,1,0,1,0,7.170880792087884
1,12,0,4,0,7.313886831633462
1,12,1,5,1,7.0909098220799835
0,0,1,4,0,4.795790545596741
2,32,0,2,0,7.0909098220799835
0,0,0,4,1,4.330733340286331
2,32,1,3,0,7.496097345175956
2,32,0,5,0,6.7464121285733745
0,0,0,1,0,4.454347296253507
1,1,1,5,0,7.24493440855279
1,5,0,3,1,7.24493440855279
1,12,0,1,0,7.0909098220799835
0,0,0,2,0,4.795790545596741
0,0,1,1,0,4.795790545596741
1,5,0,5,0,7.0909098220799835
0,0,0,2,1,4.795790545596741
2,2,1,4,0,6.85751406254539
2,28,1,4,1,8.071218539969863
1,1,1,5,0,7.170880792087884
2,32,1,4,0,7.170888478512505
2,8,0,3,0,5.860786223465865
0,0,1,4,1,4.795790545596741
1,1,1,5,0,7.170880792087884
0,0,0,1,0,4.330733340286331
2,2,0,5,0,7.280008252884188
1,1,0,3,1,7.170880792087884
1,12,0,3,1,7.1316985104669115
0,0,1,2,0,4.330733340286331
0,0,0,5,0,4.394449154672439
1,1,1,5,0,7.170880792087884
1,1,0,4,1,7.170880792087884
0,0,1,1,0,4.795790545596741
0,0,0,3,0,4.330733340286331
0,18,0,5,1,4.795790545596741
2,32,0,4,1,7.313886831633462
0,0,0,4,0,4.330733340286331
2,32,0,3,0,8.071218539969863
0,0,1,2,0,4.795790545596741
2,25,0,3,1,7.313886831633462
2,22,1,3,0,8.071218539969863
1,12,1,5,0,7.0909098220799835
2,28,0,5,1,7.208600337960199
0,18,0,1,1,4.795790545596741
0,0,0,5,0,4.795790545596741
2,13,0,3,0,8.071218539969863
0,0,0,3,0,4.795790545596741
2,32,0,2,0,6.621405651764134
2,2,0,1,1,8.160803920954665
1,1,0,3,0,7.170880792087884
0,0,0,5,0,4.795790545596741
2,8,1,3,0,6.111467339502679
2,32,0,3,1,7.496097345175956
1,20,0,1,1,6.111467339502679
1,1,0,1,0,7.170880792087884
2,32,1,4,0,7.280008252884188
0,21,1,3,0,4.795790545596741
0,0,1,2,1,4.51085950651685
2,32,1,4,1,7.467942332285852
0,0,0,4,1,4.454347296253507
1,1,0,5,0,7.090901495650648
2,32,1,1,0,7.919719760924575
1,1,0,1,0,7.24493440855279
0,0,0,5,1,4.330733340286331
2,28,0,3,0,8.160803920954665
2,32,0,4,0,7.280008252884188
0,0,0,2,0,4.330733340286331
1,1,0,1,0,7.170880792087884
1,1,1,3,0,7.170880792087884
1,1,0,3,0,7.170880792087884
2,32,0,5,1,7.280008252884188
0,0,1,2,0,4.51085950651685
1,5,0,3,0,7.0909098220799835
2,2,1,5,0,6.621405651764134
2,7,0,5,0,8.160803920954665
1,1,0,5,0,7.170880792087884
1,1,1,3,1,7.24493440855279
2,32,0,1,1,7.467942332285852
2,32,0,4,1,7.496097345175956
0,0,0,1,0,4.795790545596741
1,12,0,2,0,6.803494158767612
2,26,0,2,0,8.071218539969863
1,12,0,4,0,7.0909098220799835
0,0,1,3,0,4.330733340286331
0,18,1,2,0,4.795790545596741
0,0,1,2,0,4.795790545596741
2,32,0,4,0,7.280008252884188
1,1,1,1,1,7.170880792087884
1,1,0,2,1,7.24493440855279
0,0,0,2,1,4.795790545596741
2,8,0,1,0,6.111467339502679
0,0,0,3,1,4.795790545596741
1,1,0,5,1,7.170880792087884
1,1,1,3,0,7.170880792087884
1,5,0,1,0,7.0909098220799835
0,0,0,1,1,4.795790545596741
0,18,1,4,1,4.795790545596741
1,5,0,4,1,7.0909098220799835
0,18,0,3,1,4.795790545596741
0,30,0,1,0,4.795790545596741
0,0,1,1,0,4.330733340286331
0,0,0,5,1,4.330733340286331
2,2,0,3,1,8.160803920954665
1,1,1,4,0,7.170880792087884
0,0,0,5,0,4.795790545596741
2,2,0,2,1,7.280008252884188
0,0,0,2,0,4.795790545596741
0,0,1,2,1,4.330733340286331
1,1,1,5,0,7.170880792087884
0,0,0,1,0,4.454347296253507
2,32,0,3,0,7.496097345175956
0,0,0,1,0,4.795790545596741
2,28,0,2,0,7.280008252884188
1,12,1,2,1,7.0909098220799835
2,2,0,3,0,7.208600337960199
2,32,0,4,0,7.496097345175956
1,1,0,5,0,7.170880792087884
2,32,1,5,0,6.7464121285733745
2,10,0,1,0,7.280008252884188
0,0,0,2,1,4.454347296253507
0,0,0,1,0,4.330733340286331
2,8,0,5,0,5.860786223465865
2,28,0,2,0,7.280008252884188
2,32,1,3,1,7.0909098220799835
2,3,0,3,0,7.1316985104669115
0,0,1,1,0,4.330733340286331
1,1,0,4,0,7.170880792087884
2,32,0,5,1,7.1316985104669115
2,32,0,5,1,7.1316985104669115
1,1,1,2,0,7.170880792087884
2,7,0,1,0,8.071218539969863
2,26,1,4,0,6.621405651764134
1,5,0,1,1,7.0909098220799835
0,0,0,1,0,4.454347296253507
2,32,0,5,0,7.496097345175956
1,12,0,3,0,7.313886831633462
1,12,0,3,1,7.313886831633462
0,0,0,5,0,4.330733340286331
1,12,1,3,0,7.313886831633462
0,18,0,3,0,4.795790545596741
2,32,0,5,0,7.696667081526462
1,1,0,4,0,7.170880792087884
0,18,0,4,0,4.795790545596741
1,1,0,1,0,7.24493440855279
0,4,0,1,0,4.795790545596741
1,5,0,4,0,7.0909098220799835
2,2,1,4,0,6.7464121285733745
0,0,1,3,1,4.795790545596741
2,28,1,3,1,7.783640596221253
2,32,1,3,0,7.467942332285852
2,8,0,2,0,5.860786223465865
0,0,1,2,1,4.330733340286331
0,0,0,3,0,4.330733340286331
2,2,1,1,0,6.85751406254539
2,32,1,2,1,7.496097345175956
1,1,1,3,1,7.090901495650648
1,12,1,3,0,7.0909098220799835
1,1,0,3,0,7.170880792087884
0,18,0,2,0,4.795790545596741
0,0,1,3,0,4.795790545596741
0,18,0,5,0,4.795790545596741
1,1,1,3,1,7.24493440855279
0,0,0,1,0,4.51085950651685
2,32,0,2,1,7.0909098220799835
1,1,0,1,0,7.170880792087884
0,0,1,5,0,4.564348191467836
2,10,0,4,0,7.696667081526462
0,18,0,3,0,4.795790545596741
2,32,0,4,0,7.467942332285852
1,1,0,3,1,7.170880792087884
2,7,0,4,0,7.696667081526462
1,12,0,3,0,7.313880169386086
2,32,0,2,1,7.523481312573497
2,28,1,2,0,7.496097345175956
2,32,1,1,0,7.0909098220799835
2,8,0,4,0,6.111467339502679
0,0,0,5,1,4.330733340286331
0,0,1,2,0,4.454347296253507
1,12,1,2,0,7.170888478512505
2,32,1,5,1,7.496097345175956
0,0,1,2,1,4.795790545596741
1,1,1,2,1,7.170880792087884
0,0,0,4,0,4.454347296253507
2,16,1,2,1,8.071218539969863
1,5,1,5,0,7.170880792087884
0,0,0,1,1,4.795790545596741
2,8,0,4,0,5.860786223465865
2,32,0,2,0,7.208600337960199
0,0,0,5,0,4.330733340286331
2,32,0,2,0,7.467942332285852
0,18,0,1,0,4.795790545596741
1,1,0,2,0,7.170880792087884
1,12,1,3,0,7.0909098220799835
0,0,0,5,1,4.795790545596741
0,0,0,1,1,4.454347296253507
0,0,0,1,0,4.330733340286331
1,1,1,3,0,7.170880792087884
2,32,1,4,1,8.160803920954665
0,18,1,1,1,4.795790545596741
2,32,0,5,0,7.523481312573497
2,32,0,2,0,7.1316985104669115
0,0,0,5,1,4.330733340286331
1,12,1,3,0,7.0909098220799835
0,0,0,4,0,4.330733340286331
2,8,1,2,1,5.860786223465865
1,1,0,3,0,7.0909098220799835
0,0,0,3,1,4.795790545596741
1,1,1,3,0,7.170880792087884
0,29,0,1,0,4.795790545596741
0,0,0,5,0,4.454347296253507
0,0,0,3,1,4.795790545596741
1,5,0,1,0,7.0909098220799835
0,0,1,2,0,4.795790545596741
1,1,0,2,0,7.170880792087884
2,28,1,2,0,8.071218539969863
2,32,1,1,0,7.0909098220799835
2,32,0,5,1,7.1316985104669115
0,0,0,2,0,4.795790545596741
0,0,1,3,1,4.795790545596741
1,1,1,2,0,7.170880792087884
0,0,0,2,1,4.330733340286331
0,18,0,5,0,4.795790545596741
2,28,0,1,0,7.280008252884188
2,3,1,4,0,6.621405651764134
2,32,0,3,0,7.523481312573497
1,1,0,4,0,7.170880792087884
0,0,1,1,1,4.795790545596741
0,0,1,4,0,4.330733340286331
0,0,1,3,0,4.454347296253507
0,18,0,2,1,4.795790545596741
2,8,0,4,1,5.860786223465865
0,0,0,3,0,4.330733340286331
0,18,0,1,0,4.795790545596741
1,1,0,2,0,7.170880792087884
0,0,0,5,1,4.795790545596741
2,32,1,4,0,7.280008252884188
1,1,0,5,1,7.24493440855279
0,0,0,1,0,4.454347296253507
1,1,1,5,0,7.170880792087884
2,32,1,2,1,6.7464121285733745
1,1,1,5,1,7.090901495650648
0,0,0,3,1,4.795790545596741
0,0,0,2,1,4.795790545596741
0,0,0,2,1,4.795790545596741
0,0,1,5,0,4.51085950651685
0,18,0,3,0,4.795790545596741
1,5,0,2,0,7.0909098220799835
0,0,1,4,0,4.795790545596741
2,2,0,2,1,7.280008252884188
0,0,0,4,1,4.795790545596741
2,32,1,3,0,7.280008252884188
2,32,1,4,1,7.496097345175956
2,32,1,1,1,7.280008252884188
0,0,0,3,0,4.330733340286331
1,1,0,4,1,7.24493440855279
0,0,0,2,1,4.454347296253507
2,32,1,3,1,7.280008252884188
1,5,1,4,0,7.0909098220799835
2,2,0,5,0,7.208600337960199
2,7,0,4,1,7.0909098220799835
0,0,1,4,0,4.454347296253507
0,0,0,2,0,4.795790545596741
1,12,0,4,0,7.280008252884188
0,0,0,3,1,4.330733340286331
0,0,0,1,1,4.51085950651685
2,8,0,3,0,5.860786223465865
2,32,0,4,0,7.496097345175956
0,0,1,1,0,4.795790545596741
1,1,0,5,0,7.170880792087884
0,0,0,5,0,4.454347296253507
0,0,0,4,0,4.795790545596741
0,0,0,2,0,4.795790545596741
0,0,1,3,1,4.454347296253507
1,1,0,2,1,7.170880792087884
1,1,0,5,1,7.170880792087884
2,32,1,2,0,7.0909098220799835
1,1,1,2,0,7.170880792087884
1,12,0,1,1,7.0909098220799835
0,0,0,2,1,4.795790545596741
0,0,0,5,0,4.795790545596741
0,18,1,3,0,4.795790545596741
0,0,0,5,0,4.795790545596741
2,32,0,5,1,7.208600337960199
2,15,1,3,0,7.208600337960199
1,12,0,5,0,7.0909098220799835
0,0,1,5,0,4.795790545596741
0,18,0,3,0,4.795790545596741
1,12,0,2,0,7.280008252884188
2,8,0,3,0,5.860786223465865
2,16,0,5,0,8.071218539969863
2,32,0,4,0,7.280008252884188
2,8,1,4,0,5.860786223465865
2,32,0,1,0,6.85751406254539
0,0,1,4,0,4.795790545596741
1,1,0,4,0,7.170880792087884
1,12,0,4,1,7.0909098220799835
2,32,1,4,0,7.783640596221253
1,1,0,2,0,7.170880792087884
2,32,1,3,0,7.1316985104669115
1,1,0,3,0,7.170880792087884
2,32,0,5,0,7.496097345175956
1,12,0,3,0,7.313880169386086
0,0,0,5,0,4.795790545596741
0,0,1,4,0,4.795790545596741
2,26,0,5,0,6.621405651764134
2,32,1,4,1,6.7464121285733745
1,24,0,1,0,7.0909098220799835
1,12,1,1,0,7.0909098220799835
2,32,1,3,0,6.7464121285733745
0,0,0,2,0,5.017279836814924
2,2,1,3,0,7.170888478512505
1,12,0,4,1,7.0909098220799835
2,28,0,3,0,8.160803920954665
0,0,1,5,1,4.795790545596741
0,0,1,1,0,4.330733340286331
2,16,0,4,1,7.824445930877619
1,12,0,4,1,7.0909098220799835
2,8,0,5,0,5.860786223465865
1,1,0,2,1,7.170880792087884
0,0,0,4,0,4.330733340286331
0,0,0,1,0,4.795790545596741
0,0,0,5,1,4.795790545596741
2,32,0,2,0,7.208600337960199
1,1,0,4,1,7.170880792087884
2,32,0,3,0,7.280008252884188
2,2,1,3,0,6.85751406254539
2,28,1,1,0,8.071218539969863
0,0,0,4,0,4.454347296253507
1,1,0,1,1,7.170880792087884
0,18,0,5,0,4.795790545596741
0,0,1,2,1,4.330733340286331
2,32,0,2,0,7.313886831633462
0,0,0,2,0,4.795790545596741
2,10,0,1,0,7.650168700845001
0,0,1,5,0,4.795790545596741
0,0,1,4,1,4.795790545596741
1,12,1,3,1,7.0909098220799835
2,31,1,1,0,7.170888478512505
0,0,0,1,0,4.795790545596741
2,32,0,1,1,7.0909098220799835
2,32,0,1,0,7.208600337960199
1,12,1,1,1,7.313880169386086
0,0,1,3,0,4.454347296253507
0,0,0,3,1,4.454347296253507
2,28,1,5,0,7.804251383528112
0,0,0,5,0,4.454347296253507
1,1,0,1,0,7.170880792087884
1,1,0,1,0,7.170880792087884
2,8,0,1,0,5.786897381366708
2,22,0,3,1,7.696667081526462
0,0,1,2,0,4.795790545596741
2,32,1,2,0,7.783640596221253
0,0,0,1,0,4.330733340286331
2,32,1,5,0,7.1316985104669115
2,10,1,2,1,7.280008252884188
0,18,1,1,0,4.795790545596741
1,1,1,4,0,7.170880792087884
1,12,1,2,0,7.0909098220799835
1,1,0,2,0,7.170880792087884
1,1,0,5,0,7.170880792087884
0,0,0,1,0,4.51085950651685
0,0,0,5,0,4.330733340286331
2,8,1,5,0,5.860786223465865
2,32,0,2,1,7.280008252884188
0,0,1,5,0,4.795790545596741
0,0,1,3,0,4.454347296253507
2,32,0,4,0,7.0909098220799835
2,26,1,5,0,6.111467339502679
1,5,0,4,0,7.0909098220799835
2,8,1,5,0,5.860786223465865
2,32,1,3,0,7.280008252884188
2,32,0,5,1,7.496097345175956
0,18,1,5,0,4.795790545596741
1,5,0,5,0,7.0909098220799835
2,32,1,2,1,7.280008252884188
2,32,0,1,1,7.496097345175956
2,32,0,1,0,7.467942332285852
0,0,0,2,0,4.795790545596741
0,0,1,4,0,4.454347296253507
2,8,1,1,0,5.860786223465865
1,12,0,2,0,7.496097345175956
2,2,1,3,1,6.621405651764134
2,32,1,2,1,8.071218539969863
1,1,0,5,0,7.170880792087884
1,12,0,1,1,7.0909098220799835
1,1,1,3,0,7.170880792087884
0,0,0,5,0,4.330733340286331
2,32,1,1,0,7.496097345175956
0,0,0,5,1,4.51085950651685
0,0,0,3,1,4.330733340286331
2,32,1,5,1,7.467942332285852
2,27,1,1,0,8.160803920954665
2,32,0,5,0,7.467942332285852
1,1,0,2,1,6.90874478925533
0,18,1,4,0,4.795790545596741
1,5,0,4,1,7.0909098220799835
2,3,0,2,1,6.621405651764134
2,8,1,3,1,6.111467339502679
1,1,1,5,0,7.170880792087884
0,0,0,1,0,4.795790545596741
2,32,0,4,0,7.280008252884188
2,8,1,1,0,5.860786223465865
0,0,1,3,0,4.795790545596741
0,18,0,5,0,4.795790545596741
2,32,1,1,0,7.467942332285852
0,0,0,3,1,4.51085950651685
2,23,0,1,0,7.280008252884188
0,0,0,5,0,4.795790545596741
